Time,Event
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:08,Student looking away - Suspicious head movement
2025-03-09 13:44:08,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Suspicious head movement
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Suspicious head movement
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Suspicious head movement
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Suspicious head movement
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:09,Student looking away - Suspicious head movement
2025-03-09 13:44:09,Student looking away - Eye movement detected
2025-03-09 13:44:10,Student looking away - Suspicious head movement
2025-03-09 13:44:10,Student looking away - Eye movement detected
2025-03-09 13:44:10,Student looking away - Suspicious head movement
2025-03-09 13:44:10,Student looking away - Eye movement detected
2025-03-09 13:44:10,Student looking away - Suspicious head movement
2025-03-09 13:44:10,Student looking away - Eye movement detected
2025-03-09 13:44:10,Student looking away - Suspicious head movement
2025-03-09 13:44:10,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:11,Student looking away - Suspicious head movement
2025-03-09 13:44:11,Student looking away - Eye movement detected
2025-03-09 13:44:12,Student looking away - Suspicious head movement
2025-03-09 13:44:12,Student looking away - Eye movement detected
2025-03-09 13:44:12,Student looking away - Suspicious head movement
2025-03-09 13:44:12,Student looking away - Eye movement detected
2025-03-09 13:44:12,Student looking away - Suspicious head movement
2025-03-09 13:44:12,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:14,Student looking away - Suspicious head movement
2025-03-09 13:44:14,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:15,Student looking away - Suspicious head movement
2025-03-09 13:44:15,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:16,Student looking away - Suspicious head movement
2025-03-09 13:44:16,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:17,Student looking away - Suspicious head movement
2025-03-09 13:44:17,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:18,Student looking away - Suspicious head movement
2025-03-09 13:44:18,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:19,Student looking away - Suspicious head movement
2025-03-09 13:44:19,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:20,Student looking away - Suspicious head movement
2025-03-09 13:44:20,Student looking away - Eye movement detected
2025-03-09 13:44:21,Student looking away - Suspicious head movement
2025-03-09 13:44:21,Student looking away - Eye movement detected
2025-03-09 13:44:21,Student looking away - Suspicious head movement
2025-03-09 13:44:21,Student looking away - Eye movement detected
2025-03-09 13:44:21,Student looking away - Suspicious head movement
2025-03-09 13:44:21,Student looking away - Eye movement detected
2025-03-09 13:44:21,Student looking away - Suspicious head movement
2025-03-09 13:44:21,Student looking away - Eye movement detected
2025-03-09 13:44:25,Student looking away - Suspicious head movement
2025-03-09 13:44:25,Student looking away - Eye movement detected
2025-03-09 13:44:25,Student looking away - Suspicious head movement
2025-03-09 13:44:25,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:26,Student looking away - Suspicious head movement
2025-03-09 13:44:26,Student looking away - Eye movement detected
2025-03-09 13:44:27,Student looking away - Eye movement detected
2025-03-09 13:44:27,Student looking away - Suspicious head movement
